id,area,title,severity,likelihood,user_impact,operational_impact,effort,confidence,fix_summary,evidence_refs,dependencies
PRA-001,Security,Repository-local signing secret pattern,Blocker,High,High,High,S,High,Remove plaintext signing secrets from local files and rotate credentials.,command:cmd-env-keystore-vars-mask;android/app/build.gradle:8-15;android/app/build.gradle:90-93,
PRA-002,Android,Android cleartext allowed globally without network security scoping,Critical,High,High,High,M,High,Add network security config and disable global cleartext by default.,android/app/src/main/AndroidManifest.xml:11-11;src/lib/c64api.ts:28-31;src/lib/c64api.ts:313-315;command:cmd-android-network-config-check-2026-02-28T19:56:14Z,
PRA-003,Security,Plain FTP transport across all platform backends,Critical,High,High,High,L,High,Introduce secure transport mode and constrain plaintext fallback usage.,android/app/src/main/java/uk/gleissner/c64commander/FtpClientPlugin.kt:60-69;android/app/src/main/java/uk/gleissner/c64commander/FtpClientPlugin.kt:131-145;ios/App/App/IOSFtp.swift:27-27;ios/App/App/IOSFtp.swift:121-121;web/server/src/index.ts:547-553;web/server/src/index.ts:592-598,PRA-002;PRA-004
PRA-004,Backend/API,Password propagation over HTTP via X-Password header,Critical,High,High,High,M,High,Move credential transport to secure channels and block insecure host paths by default.,src/lib/c64api.ts:28-31;src/lib/c64api.ts:557-561;web/server/src/index.ts:485-497,PRA-002
PRA-005,Privacy,Android backups enabled without explicit exclusion rules,Major,Medium,Medium,Medium,S,Medium,Add backup policy rules or disable backup for sensitive app data.,android/app/src/main/AndroidManifest.xml:5-5;android/app/src/main/res/xml/config.xml:1-6,
PRA-006,Privacy,Android diagnostics broadcast is globally observable,Major,Medium,Medium,Medium,M,High,Replace global broadcast with scoped channel or permission-guarded receiver.,android/app/src/main/java/uk/gleissner/c64commander/AppLogger.kt:56-73;android/app/src/main/java/uk/gleissner/c64commander/AppLogger.kt:67-71,
PRA-007,CI/CD,CI token permissions are broader than necessary,Major,Medium,Medium,High,S,High,Reduce default workflow permissions and grant write only in release jobs.,.github/workflows/android.yaml:14-16;.github/workflows/ios.yaml:14-16,
PRA-008,SupplyChain,GitHub Actions pinned to mutable tags not SHAs,Major,Medium,Medium,High,M,High,Pin all third-party actions to immutable commit SHAs and maintain update cadence.,.github/workflows/android.yaml:29-34;.github/workflows/ios.yaml:47-53;.github/workflows/web.yaml:262-266;.github/workflows/web.yaml:312-312,PRA-007
PRA-009,SupplyChain,iOS CI installs tooling via unpinned curl pipe bash,Critical,Medium,Medium,High,S,High,Replace remote script execution with versioned checksum-verified install.,.github/workflows/ios.yaml:200-200,
PRA-010,SupplyChain,Dependabot configuration missing,Major,High,Medium,Medium,S,High,Add Dependabot for npm workflows and platform dependency manifests.,command:cmd-missing-dependabot-2026-02-28T19:56:14Z,
PRA-011,SupplyChain,Critical runtime vulnerability in basic-ftp,Critical,High,High,High,S,High,Upgrade basic-ftp to fixed version and gate runtime audits in CI.,command:cmd-npm-audit-runtime-2026-02-28T19:57:50Z;package.json:100-100,
PRA-012,iOS,iOS deployment and version metadata are inconsistent,Major,Medium,Medium,High,M,High,Align Podfile deployment target with project settings and automate version fields.,ios/App/Podfile:3-3;ios/App/App.xcodeproj/project.pbxproj:310-310;ios/App/App.xcodeproj/project.pbxproj:377-379;ios/App/App.xcodeproj/project.pbxproj:395-399,
PRA-013,Android,Android release build keeps minification disabled,Major,High,Medium,Medium,M,High,Enable release minification and resource shrinking with validated keep rules.,android/app/build.gradle:131-135;android/app/proguard-rules.pro:1-24,
PRA-014,Performance,Android ABI policy includes emulator ABIs in default packaging,Major,Medium,Medium,Medium,M,Medium,Split ABIs for release and retain emulator ABIs only for debug/test lanes.,android/app/build.gradle:76-78,
PRA-015,Web,Web runtime disables asset caching and has no service worker fallback,Major,High,Medium,Medium,M,High,Serve hashed static assets with cache headers and keep no-store only for dynamic endpoints.,web/server/src/index.ts:273-279;command:cmd-service-worker-check,
PRA-016,Performance,Web bundle size profile is high for first load,Major,High,Medium,Medium,L,High,Reduce initial payload via route-level splitting and deferred WASM loading.,command:cmd-web-build-2026-02-28T19:54:34Z,
PRA-017,Accessibility,Browser zoom is disabled by viewport policy,Major,High,High,Medium,S,High,Remove user-scalable restriction and validate high-zoom layouts.,index.html:5-5,
PRA-018,UX,Localization readiness is low,Major,High,Medium,Medium,L,Medium,Introduce i18n framework and externalize user-visible strings incrementally.,command:cmd-localization-libs-check;src/pages/SettingsPage.tsx:703-813;src/pages/SettingsPage.tsx:1555-1753,
PRA-019,Data,Persistence adapters can silently reset state on mismatch,Major,Medium,High,Medium,L,High,Add explicit schema migrations and recovery path instead of destructive fallback.,src/lib/playlistRepository/indexedDbRepository.ts:97-109;src/lib/playlistRepository/localStorageRepository.ts:74-88;docs/db.md:11-15,
PRA-020,Testing,Coverage quality bar mismatch between CI and repository guidance,Minor,High,Medium,Medium,S,High,Align CI coverage threshold with documented branch coverage policy.,.github/workflows/android.yaml:372-376;AGENTS.md:95-99,
PRA-021,Legal/Licensing,License metadata is inconsistent in docs,Minor,High,Low,Medium,S,High,Align README badge and docs with GPLv3 license statement.,README.md:5-5;README.md:384-384;LICENSE:1-3,
PRA-022,Stability,Android build verification could not complete in this environment,Minor,Medium,Low,Medium,S,High,Rerun Android assemble checks in unrestricted environment and capture logs.,command:cmd-android-assemble-dryrun-2026-02-28T19:54:43Z;android/gradle/wrapper/gradle-wrapper.properties:3-3,
PRA-023,CI/CD,iOS local build command is not executable on Linux host,Minor,High,Low,Medium,S,High,Use macOS CI as authoritative iOS build gate and document local limitation.,command:cmd-ios-build-sim-2026-02-28T19:54:46Z;AGENTS.md:123-124,
